"","case","cc3","country","year","systemic_crisis","exch_usd","domestic_debt_in_default","sovereign_external_debt_default","gdp_weighted_default","inflation_annual_cpi","independence","currency_crises","inflation_crises","banking_crisis"
"27",1,"DZA","Algeria",1959,0,0.00659540442401029,0,0,0,1.71652153687595e-06,0,0,0,0
"28",2,"AGO","Angola",1959,0,3.8828109157445e-11,0,0,0,1.29615711593989e-06,0,1,0,0
"29",10,"CAF","Central African Republic",1959,0,0.329769987963153,0,0,0,1.46776386069409e-06,0,1,0,0
"30",15,"CIV","Ivory Coast",1959,0,0,0,0,0,1.58485023310758e-06,0,0,0,0
"31",19,"EGY","Egypt",1959,0,0.00047144579596358,0,0,0,1.32774522071907e-06,1,0,0,0
"32",35,"KEN","Kenya",1959,0,0.00959672321455757,0,0,0,1.3351137534959e-06,0,0,0,0
"33",38,"MUS","Mauritius",1959,0,0.0063977572566002,0,0,0,1.26802033715094e-06,0,0,0,0
"34",40,"MAR","Morocco",1959,0,0.00659406089082146,0,0,0,1.19742182278956e-06,1,1,0,0
"35",45,"NGA","Nigeria",1959,0,0,0,0,0,1.51023879065693e-06,0,0,0,0
"36",56,"ZAF","South Africa",1959,0,0.000477693225291681,0,0,0,1.33187895059893e-06,1,0,0,0
"37",63,"TUN","Tunisia",1959,0,0.00056428393931235,0,0,0,9.20335356129402e-07,1,0,0,0
"38",69,"ZMB","Zambia",1959,0,9.5982011010653e-07,0,0,0,1.39089833958259e-06,0,0,0,0
"39",70,"ZWE","Zimbabwe",1959,0,9.56595630453316e-30,0,0,0,1.41678254659638e-06,0,0,0,0
"40",1,"DZA","Algeria",1960,0,0.00663310396528911,0,0,0,1.54102674018075e-06,0,1,0,0
"41",2,"AGO","Angola",1960,0,3.86937558385611e-11,0,0,0,1.25113158389998e-06,0,0,0,0
"42",10,"CAF","Central African Republic",1960,0,0.329340057611431,0,0,0,1.7922566144078e-06,1,0,0,0
"43",15,"CIV","Ivory Coast",1960,0,0,0,0,0,1.19827123618993e-06,1,0,0,0
"44",19,"EGY","Egypt",1960,0,0.00047144579596358,0,0,0,1.32917838233575e-06,1,0,0,0
"45",35,"KEN","Kenya",1960,0,0.00959672321455757,0,0,0,1.33463198577868e-06,0,0,0,0
"46",38,"MUS","Mauritius",1960,0,0.00638909146753219,0,0,0,1.38116846595145e-06,0,0,0,0
"47",40,"MAR","Morocco",1960,0,0.00679894970211939,0,0,0,1.39708368828086e-06,1,0,0,0
"48",45,"NGA","Nigeria",1960,0,0,0,0,0,1.49287299798826e-06,1,0,0,0
"49",56,"ZAF","South Africa",1960,0,0.000477894755270007,0,0,0,1.3681481161909e-06,1,0,0,0
"50",63,"TUN","Tunisia",1960,0,0.00056428393931235,0,0,0,1.37809923057347e-06,1,0,0,0
"51",69,"ZMB","Zambia",1960,0,9.58476576917691e-07,0,0,0,1.45321635013678e-06,0,0,0,0
"52",70,"ZWE","Zimbabwe",1960,0,9.60626230019833e-30,0,0,0,1.40779018568732e-06,0,0,0,0
"53",1,"DZA","Algeria",1961,0,0.00663310396528911,0,0,0,1.42893313740763e-06,0,0,0,0
"54",2,"AGO","Angola",1961,0,3.86937558385611e-11,0,0,0,1.38710869065143e-06,0,0,0,0
"55",10,"CAF","Central African Republic",1961,0,0.32925272808851,0,0,0,1.59435900023182e-06,1,0,0,0
"56",15,"CIV","Ivory Coast",1961,0,0,0,0,0,1.95238775541233e-06,1,0,0,0
"57",19,"EGY","Egypt",1961,0,0.00047144579596358,0,0,0,1.34970303879361e-06,1,0,0,0
"58",35,"KEN","Kenya",1961,0,0.00959672321455757,0,0,0,1.41076298242756e-06,0,0,0,0
"59",38,"MUS","Mauritius",1961,0,0.00637931054591744,0,0,0,1.26829059698117e-06,0,0,0,0
"60",40,"MAR","Morocco",1961,0,0.00679894970211939,0,0,0,1.39964824519447e-06,1,0,0,0
"61",45,"NGA","Nigeria",1961,0,0,0,0,0,1.57889767623811e-06,1,0,0,0
"62",56,"ZAF","South Africa",1961,0,0.000477894755270007,0,0,0,1.3907217103057e-06,1,0,0,0
"63",63,"TUN","Tunisia",1961,0,0.00056428393931235,0,0,0,1.21566536959666e-06,1,0,0,0
"64",69,"ZMB","Zambia",1961,0,9.56864337091084e-07,0,0,0,1.30305784238455e-06,0,0,0,0
"65",70,"ZWE","Zimbabwe",1961,0,9.55252097264477e-30,0,0,0,1.42805410321674e-06,0,0,0,0
"66",1,"DZA","Algeria",1970,0,0.00663310396528911,0,0,0,1.46243119110343e-06,1,0,0,0
"67",2,"AGO","Angola",1970,0,3.86937558385611e-11,0,0,0,1.6583914996753e-06,0,1,0,0
"68",10,"CAF","Central African Republic",1970,0,0.370848486191587,0,0,0,1.46598370772379e-06,1,0,0,0
"69",15,"CIV","Ivory Coast",1970,0,0.373502226497222,0,0,0,1.66337941454799e-06,1,0,0,0
"70",19,"EGY","Egypt",1970,0,0.000584168230507166,0,0,0,1.44935215524858e-06,1,0,0,0
"71",35,"KEN","Kenya",1970,0,0.00959672321455757,0,0,0,1.3794957624439e-06,1,0,0,0
"72",38,"MUS","Mauritius",1970,0,0.00748369482714304,0,0,0,1.2966677511867e-06,1,0,0,0
"73",40,"MAR","Morocco",1970,0,0.0067538069869744,0,0,0,1.38328145952914e-06,1,0,0,0
"74",45,"NGA","Nigeria",1970,0,0,0,0,0,1.90614533132146e-06,1,0,0,0
"75",56,"ZAF","South Africa",1970,0,0.000958073516961039,0,0,0,1.51819387132145e-06,1,0,0,0
"76",63,"TUN","Tunisia",1970,0,0.000698637258196242,0,0,0,1.36721937687348e-06,1,0,0,0
"77",69,"ZMB","Zambia",1970,0,9.59417050149878e-07,0,0,0,1.41276169889874e-06,1,0,0,0
"78",70,"ZWE","Zimbabwe",1970,0,9.61969763208672e-30,1,1,0,1.3911556349025e-06,1,0,0,0
"79",1,"DZA","Algeria",1971,0,0.00623936812896798,0,0,0,1.57687079583874e-06,1,0,0,0
"80",2,"AGO","Angola",1971,0,3.70815160119544e-11,0,0,0,1.55890523738098e-06,0,0,0,0
"81",10,"CAF","Central African Republic",1971,0,0.350964208969516,0,0,0,2.55581507572204e-06,1,0,1,0
"82",15,"CIV","Ivory Coast",1971,0,0.354692761853477,0,0,0,1.24739541417642e-06,1,0,0,0
"83",19,"EGY","Egypt",1971,0,0.000584168230507166,0,0,0,1.42999141373224e-06,1,0,0,0
"84",35,"KEN","Kenya",1971,0,0.00959672321455757,0,0,0,1.5514933633593e-06,1,0,0,0
"85",38,"MUS","Mauritius",1971,0,0.0070181068358828,0,0,0,1.3819333658298e-06,1,0,0,0
"86",40,"MAR","Morocco",1971,0,0.00639521797887329,0,0,0,1.49613421103969e-06,1,0,0,0
"87",45,"NGA","Nigeria",1971,0,0,0,0,0,2.0000506507376e-06,1,0,0,0
"88",56,"ZAF","South Africa",1971,0,0.000935099099431893,0,0,0,1.60109268019392e-06,1,0,0,0
"89",63,"TUN","Tunisia",1971,0,0.000644895930642685,0,0,0,1.48957446268529e-06,1,0,0,0
"90",69,"ZMB","Zambia",1971,0,9.59685756787646e-07,0,0,0,1.59273833780557e-06,1,0,0,0
"91",70,"ZWE","Zimbabwe",1971,0,9.0151076971092e-30,1,1,0,1.43371609963712e-06,1,0,0,0
"92",1,"DZA","Algeria",1972,0,0.00612113720835015,0,0,0,1.51144989427681e-06,1,0,0,0
"93",2,"AGO","Angola",1972,0,3.6275396098651e-11,0,0,0,2.01459608996375e-06,0,1,0,0
"94",10,"CAF","Central African Republic",1972,0,0.344011429688347,0,0,0,8.94900168672411e-07,1,0,0,0
"95",15,"CIV","Ivory Coast",1972,0,0.343272729748346,0,0,0,1.35048319293364e-06,1,0,0,0
"96",19,"EGY","Egypt",1972,0,0.000584168230507166,0,0,0,1.40639509321651e-06,1,0,0,0
"97",35,"KEN","Kenya",1972,0,0.00959672321455757,0,0,0,1.50194501883403e-06,1,0,0,0
"98",38,"MUS","Mauritius",1972,0,0.00762898450618408,0,0,0,1.54863551917744e-06,1,0,0,0
"99",40,"MAR","Morocco",1972,0,0.00612234638822011,0,0,0,1.44219664815862e-06,1,0,0,0
"100",45,"NGA","Nigeria",1972,0,0,0,0,0,1.29578202191396e-06,1,0,0,0
"101",56,"ZAF","South Africa",1972,0,0.000993408439827503,0,0,0,1.67958673222525e-06,1,0,0,0
"102",63,"TUN","Tunisia",1972,0,0.00063817826469849,0,0,0,1.41966785024102e-06,1,0,0,0
"103",69,"ZMB","Zambia",1972,0,9.59685756787646e-07,0,0,0,1.51270848430503e-06,1,0,0,0
"104",70,"ZWE","Zimbabwe",1972,0,8.75983639122981e-30,1,1,0,1.42575208111589e-06,1,0,0,0
"105",1,"DZA","Algeria",1973,0,0.00562268639529091,0,0,0,1.70367177457014e-06,1,0,0,0
"106",2,"AGO","Angola",1973,0,3.46631562720443e-11,0,0,0,2.00898326819483e-06,0,1,0,0
"107",10,"CAF","Central African Republic",1973,0,0.316301077284129,0,0,0,1.55287527035295e-06,1,0,0,0
"108",15,"CIV","Ivory Coast",1973,0,0.319760898943665,0,0,0,1.88427610567422e-06,1,0,0,0
"109",19,"EGY","Egypt",1973,0,0.000584168230507166,0,0,0,1.55720234554509e-06,1,0,0,0
"110",35,"KEN","Kenya",1973,0,0.0092703790029886,0,0,0,1.87201236132674e-06,1,0,0,0
"111",38,"MUS","Mauritius",1973,0,0.00771080567738437,0,0,0,2.24309783166329e-06,1,0,1,0
"112",40,"MAR","Morocco",1973,0,0.00521976079195812,0,0,0,1.62328028537556e-06,1,0,0,0
"113",45,"NGA","Nigeria",1973,0,0.000883903765927653,0,0,0,1.82701733080691e-06,1,1,0,0
"114",56,"ZAF","South Africa",1973,0,0.000895733576998913,0,0,0,1.78586840772658e-06,1,0,0,0
"115",63,"TUN","Tunisia",1973,0,0.000519275577486245,0,0,0,1.55922889851879e-06,1,0,0,0
"116",69,"ZMB","Zambia",1973,0,8.63757487104546e-07,0,0,0,1.59145443645434e-06,1,0,0,0
"117",70,"ZWE","Zimbabwe",1973,0,8.1418111243639e-30,1,1,0,1.4374340785455e-06,1,0,0,0
"118",1,"DZA","Algeria",1974,0,0.00537010215578919,0,0,0,1.69994444779534e-06,1,0,0,0
"119",2,"AGO","Angola",1974,0,3.30509164454376e-11,0,0,0,2.54288764500067e-06,0,0,1,0
"120",10,"CAF","Central African Republic",1974,0,0.298566451686313,0,0,0,1.73008638460979e-06,1,0,0,0
"121",15,"CIV","Ivory Coast",1974,0,0.298264367922242,0,0,0,2.12491618632575e-06,1,0,0,0
"122",19,"EGY","Egypt",1974,0,0.000525724536792672,0,0,0,1.78003791064439e-06,1,0,0,0
"123",35,"KEN","Kenya",1974,0,0.00959672321455757,0,0,0,2.04258584089365e-06,1,0,0,0
"124",38,"MUS","Mauritius",1974,0,0.00762777532631413,0,0,0,2.37839066878998e-06,1,0,1,0
"125",40,"MAR","Morocco",1974,0,0.00558211169298798,0,0,0,2.02281052240876e-06,1,0,0,0
"126",45,"NGA","Nigeria",1974,0,0.000827910518212685,0,0,0,1.8081888977974e-06,1,0,0,0
"127",56,"ZAF","South Africa",1974,0,0.000897211463506636,0,0,0,1.92427954869676e-06,1,0,0,0
"128",63,"TUN","Tunisia",1974,0,0.000571001605256544,0,0,0,1.50924034759883e-06,1,1,0,0
"129",69,"ZMB","Zambia",1974,0,8.63757487104546e-07,0,0,0,1.65663591813695e-06,1,0,0,0
"130",70,"ZWE","Zimbabwe",1974,0,7.37599720672571e-30,1,1,0,1.59611962248834e-06,1,0,0,0
"131",1,"DZA","Algeria",1975,0,0.00554207440396058,0,0,0,1.84636565756973e-06,1,0,0,0
"132",2,"AGO","Angola",1975,0,3.69471626930705e-11,0,0,0,2.61497472622235e-06,1,0,1,0
"133",10,"CAF","Central African Republic",1975,0,0.301320692708133,0,0,0,2.02503733119539e-06,1,0,0,0
"134",15,"CIV","Ivory Coast",1975,0,0.295577301544564,0,0,0,1.77900506683576e-06,1,0,0,0
"135",19,"EGY","Egypt",1975,0,0.000525724536792672,0,0,0,1.74633400656788e-06,1,0,0,0
"136",35,"KEN","Kenya",1975,0,0.00959672321455757,0,0,0,2.19360988294002e-06,1,0,0,0
"137",38,"MUS","Mauritius",1975,0,0.00885280888789746,0,0,0,1.98763235874583e-06,1,0,0,0
"138",40,"MAR","Morocco",1975,0,0.00515634602544492,0,0,0,1.61480442449822e-06,1,0,0,0
"139",45,"NGA","Nigeria",1975,0,0.000825824075660012,0,0,0,3.04715279903883e-06,1,0,1,0
"140",56,"ZAF","South Africa",1975,0,0.000903526069494179,0,0,0,1.80780859470193e-06,1,0,0,0
"141",63,"TUN","Tunisia",1975,0,0.000633072838580903,0,0,0,1.75349997331631e-06,1,0,0,0
"142",69,"ZMB","Zambia",1975,0,8.63757487104546e-07,0,0,0,1.75862275027446e-06,1,0,0,0
"143",70,"ZWE","Zimbabwe",1975,0,8.3970824302433e-30,1,1,0,1.75126242542249e-06,1,0,0,0
"144",1,"DZA","Algeria",1976,0,0.00585646117014888,0,0,0,2.07713642050076e-06,1,0,0,0
"145",2,"AGO","Angola",1976,0,4.01716423462839e-11,1,0,0,4.96604881033895e-06,1,0,1,0
"146",10,"CAF","Central African Republic",1976,1,0.333850967068478,0,0,0,1.77413085689323e-06,1,0,0,1
"147",15,"CIV","Ivory Coast",1976,0,0.331852697643215,0,0,0,1.88319735587728e-06,1,0,0,0
"148",19,"EGY","Egypt",1976,0,0.000525724536792672,0,0,0,1.76419043823394e-06,1,0,0,0
"149",35,"KEN","Kenya",1976,0,0.0111110194716979,0,0,0,1.72943256070633e-06,1,1,0,0
"150",38,"MUS","Mauritius",1976,0,0.00891971684070164,0,0,0,1.78545164169005e-06,1,0,0,0
"151",40,"MAR","Morocco",1976,0,0.00564834787919774,0,0,0,1.79517588482753e-06,1,0,0,0
"152",45,"NGA","Nigeria",1976,0,0.000847868981844258,0,0,0,2.13002090894157e-06,1,0,0,0
"153",56,"ZAF","South Africa",1976,0,0.00116524633468,0,0,0,1.81083917666113e-06,1,0,0,0
"154",63,"TUN","Tunisia",1976,0,0.000750631992604309,0,0,0,1.4459147262497e-06,1,0,0,0
"155",69,"ZMB","Zambia",1976,0,1.0659592320248e-06,0,0,0,2.15903102967164e-06,1,0,0,0
"156",70,"ZWE","Zimbabwe",1976,0,8.31647043891296e-30,1,1,0,1.79828623040823e-06,1,0,0,0
"157",1,"DZA","Algeria",1977,0,0.00542115641696507,0,0,0,1.81687210875597e-06,1,0,0,0
"158",2,"AGO","Angola",1977,0,4.01716423462839e-11,0,0,0,4.43441167802558e-06,1,0,1,0
"159",10,"CAF","Central African Republic",1977,1,0.316065958976082,0,0,0,1.80281670342639e-06,1,0,0,1
"160",15,"CIV","Ivory Coast",1977,0,0.317073832565987,0,0,0,2.40951523127418e-06,1,0,1,0
"161",19,"EGY","Egypt",1977,0,0.000525724536792672,0,0,0,1.82434139859678e-06,1,0,0,0
"162",35,"KEN","Kenya",1977,0,0.0106771926050218,0,0,0,2.11521614494755e-06,1,0,0,0
"163",38,"MUS","Mauritius",1977,0,0.00853183880908384,0,0,0,1.7415712837923e-06,1,0,0,0
"164",40,"MAR","Morocco",1977,0,0.00580406337578417,0,0,0,1.78793912542069e-06,1,0,0,0
"165",45,"NGA","Nigeria",1977,0,0.0008751518953447,0,0,0,2.31277316725914e-06,1,0,1,0
"166",56,"ZAF","South Africa",1977,0,0.00116632116123107,0,0,0,1.76049535770329e-06,1,0,0,1
"167",63,"TUN","Tunisia",1977,0,0.000574360438228641,0,0,0,1.668825465645e-06,1,0,0,0
"168",69,"ZMB","Zambia",1977,0,1.01960733700986e-06,0,0,0,2.19783221020403e-06,1,1,0,0
"169",70,"ZWE","Zimbabwe",1977,0,8.69265973178786e-30,1,1,0,1.76257501184438e-06,1,1,0,0
"170",1,"DZA","Algeria",1978,0,0.00515177801260287,0,0,0,1.73583942996855e-06,1,0,0,0
"171",2,"AGO","Angola",1978,0,4.01716423462839e-11,0,0,0,3.49996236981012e-06,1,0,1,0
"172",10,"CAF","Central African Republic",1978,1,0.280798237758777,0,0,0,1.81873951329997e-06,1,0,0,1
"173",15,"CIV","Ivory Coast",1978,0,0.327150331482279,0,0,0,2.02521289820336e-06,1,0,0,0
"174",19,"EGY","Egypt",1978,0,0.000525724536792672,0,0,0,1.80870891660912e-06,1,0,0,0
"175",35,"KEN","Kenya",1978,0,0.00961808539226011,0,0,0,1.99449306158622e-06,1,0,0,0
"176",38,"MUS","Mauritius",1978,0,0.00795506001111529,0,0,0,1.70831276380172e-06,1,0,0,0
"177",40,"MAR","Morocco",1978,0,0.00522157456176305,0,0,0,1.73818426506751e-06,1,0,0,0
"178",45,"NGA","Nigeria",1978,0,0.000870727925382889,0,0,0,2.01382557641778e-06,1,0,0,0
"179",56,"ZAF","South Africa",1978,0,0.00116672422118772,0,0,0,1.85252729978553e-06,1,0,0,1
"180",63,"TUN","Tunisia",1978,0,0.000618025266865907,0,0,0,1.50672187239196e-06,1,1,0,0
"181",69,"ZMB","Zambia",1978,0,1.05628579306516e-06,0,0,0,2.03227597602837e-06,1,0,0,0
"182",70,"ZWE","Zimbabwe",1978,0,9.06884902466276e-30,1,1,0,1.67041898552923e-06,1,0,0,0
"183",1,"DZA","Algeria",1979,0,0.00504563889068459,0,0,0,1.96053917296832e-06,1,0,0,0
"184",2,"AGO","Angola",1979,0,4.01716423462839e-11,0,0,0,5.90291429397669e-06,1,0,1,0
"185",10,"CAF","Central African Republic",1979,1,0.270049979906205,0,0,0,1.71501305212102e-06,1,0,0,1
"186",15,"CIV","Ivory Coast",1979,0,0.27542430371198,0,0,0,2.28568954503971e-06,1,0,1,0
"187",19,"EGY","Egypt",1979,0,0.000940473232187249,0,0,0,1.74649439507683e-06,1,1,0,0
"188",35,"KEN","Kenya",1979,0,0.00984487379453612,0,0,0,1.66361435797271e-06,1,0,0,0
"189",38,"MUS","Mauritius",1979,0,0.0101913710039377,0,0,0,2.35193061375008e-06,1,1,1,0
"190",40,"MAR","Morocco",1979,0,0.00502320188643098,0,0,0,1.68958602670382e-06,1,0,0,0
"191",45,"NGA","Nigeria",1979,0,0.000766638052988021,0,0,0,1.75401750778576e-06,1,0,0,0
"192",56,"ZAF","South Africa",1979,0,0.00110760876087881,0,0,0,1.92794651882421e-06,1,0,0,0
"193",63,"TUN","Tunisia",1979,0,0.000544130941479766,0,1,0.15,1.68529887857085e-06,1,0,0,0
"194",69,"ZMB","Zambia",1979,0,1.04459705432227e-06,0,0,0,1.73261204103467e-06,1,0,0,0
"195",70,"ZWE","Zimbabwe",1979,0,9.05541369277437e-30,1,1,0,1.86700546940798e-06,1,0,0,0
"196",1,"DZA","Algeria",1980,0,0.0053358420594738,0,0,0,1.73581702809547e-06,1,0,0,0
"197",2,"AGO","Angola",1980,0,4.01716423462839e-11,0,0,0,3.42021993774697e-06,1,0,1,0
"198",10,"CAF","Central African Republic",1980,1,0.303369579343226,0,0,0,1.90098508777162e-06,1,0,0,1
"199",15,"CIV","Ivory Coast",1980,0,0.296920834733403,0,0,0,1.69679880254422e-06,1,0,0,0
"200",19,"EGY","Egypt",1980,1,0.000940473230843716,0,0,0,2.22841075673315e-06,1,0,1,0
"201",35,"KEN","Kenya",1980,0,0.0101685309383839,0,0,0,1.92672438341498e-06,1,0,0,0
"202",38,"MUS","Mauritius",1980,0,0.0105264481812341,0,0,0,2.79867713017449e-06,1,0,1,0
"203",40,"MAR","Morocco",1980,0,0.0058230743690627,0,0,0,1.72399332338297e-06,1,0,0,0
"204",45,"NGA","Nigeria",1980,0,0.000731492998231804,0,0,0,1.74955071587691e-06,1,0,0,0
"205",56,"ZAF","South Africa",1980,0,0.00100144095855755,0,0,0,1.94355042473662e-06,1,0,0,0
"206",63,"TUN","Tunisia",1980,0,0.000562537344823326,0,1,0.15,1.75141522315849e-06,1,0,0,0
"207",69,"ZMB","Zambia",1980,0,1.07899150395654e-06,0,0,0,1.8295426258357e-06,1,0,0,0
"208",70,"ZWE","Zimbabwe",1980,0,8.47769442157363e-30,1,1,0,1.62358278490143e-06,1,0,0,0
"209",1,"DZA","Algeria",1992,1,0.0306075669882151,0,1,0.575,2.73773957511776e-06,1,0,1,1
"210",2,"AGO","Angola",1992,0,7.3894325386141e-10,1,1,0,1.48978286866883e-05,1,1,1,1
"211",10,"CAF","Central African Republic",1992,1,0.369908013496813,0,1,0,1.26173194491158e-06,1,0,0,1
"212",15,"CIV","Ivory Coast",1992,0,0.373502226497222,0,1,0,1.48797398700653e-06,1,0,0,0
"213",19,"EGY","Egypt",1992,0,0.00448553333958953,0,0,0,2.25760621221556e-06,1,0,1,1
"214",35,"KEN","Kenya",1992,1,0.0486578010269472,0,0,0,2.53910133594776e-06,1,1,1,1
"215",38,"MUS","Mauritius",1992,0,0.0228373771438841,0,0,0,1.42608144041532e-06,1,0,0,0
"216",40,"MAR","Morocco",1992,0,0.0121572287658468,0,0,0,1.55718813536201e-06,1,0,0,0
"217",45,"NGA","Nigeria",1992,1,0.0263955439818274,0,1,0,3.32278557944973e-06,1,1,0,1
"218",56,"ZAF","South Africa",1992,0,0.00410180682552524,0,0,0,1.91794755645532e-06,1,0,0,0
"219",63,"TUN","Tunisia",1992,1,0.00127722982596973,0,0,0,1.54709251056903e-06,1,0,0,1
"220",69,"ZMB","Zambia",1992,0,0.000423159213156709,0,1,0,8.83263197547467e-06,1,1,1,0
"221",70,"ZWE","Zimbabwe",1992,0,7.21477322406504e-29,0,0,0,3.18794986993987e-06,1,0,1,0
"222",1,"DZA","Algeria",1993,0,0.0324100511143614,0,1,0.575,2.22841075673315e-06,1,0,1,0
"223",2,"AGO","Angola",1993,0,8.73296572745303e-09,1,1,0,6.40289143543263e-05,1,1,1,1
"224",10,"CAF","Central African Republic",1993,1,0.396039715613325,0,1,0,1.16386805052196e-06,1,0,0,1
"225",15,"CIV","Ivory Coast",1993,0,0.399029357085161,0,1,0,1.39302054300768e-06,1,0,0,0
"226",19,"EGY","Egypt",1993,0,0.00453012520612709,0,0,0,1.79830075992229e-06,1,0,0,1
"227",35,"KEN","Kenya",1993,1,0.0915793871041467,0,0,0,3.38708834277078e-06,1,1,1,1
"228",38,"MUS","Mauritius",1993,0,0.0250646864643413,0,0,0,1.99139095303489e-06,1,0,0,0
"229",40,"MAR","Morocco",1993,0,0.0129667075121223,0,0,0,1.53185812180484e-06,1,0,0,0
"230",45,"NGA","Nigeria",1993,1,0.0293989756798441,0,1,0,3.89478003281059e-06,1,0,1,1
"231",56,"ZAF","South Africa",1993,0,0.00456465400908026,0,1,0.9,1.74518504029075e-06,1,0,0,0
"232",63,"TUN","Tunisia",1993,1,0.00140614183543882,0,0,0,1.4798792968572e-06,1,0,0,1
"233",69,"ZMB","Zambia",1993,0,0.000753722118938638,0,1,0,9.63018633412014e-06,1,1,1,0
"234",70,"ZWE","Zimbabwe",1993,0,9.1494610159931e-29,0,0,0,2.57857431937257e-06,1,1,1,0
"235",1,"DZA","Algeria",1994,0,0.0576274973022737,0,1,0.575,2.61495494925719e-06,1,1,1,0
"236",2,"AGO","Angola",1994,0,6.8421039881449e-07,1,1,0,4.44877411486157e-05,1,1,1,1
"237",10,"CAF","Central African Republic",1994,1,0.718252334629039,0,1,0,2.41258769552402e-06,1,1,1,1
"238",15,"CIV","Ivory Coast",1994,0,0.725507921973021,0,1,0,2.47652665254623e-06,1,1,1,0
"239",19,"EGY","Egypt",1994,0,0.0045559210433528,0,0,0,1.70753108836018e-06,1,0,0,1
"240",35,"KEN","Kenya",1994,1,0.0602425503010298,0,1,0,2.60649645280901e-06,1,0,1,1
"241",38,"MUS","Mauritius",1994,0,0.0239989959389542,0,0,0,1.62972201619446e-06,1,0,0,0
"242",40,"MAR","Morocco",1994,0,0.0120375199587213,0,0,0,1.52999361452326e-06,1,0,0,0
"243",45,"NGA","Nigeria",1994,1,0.0295541836567685,0,1,0,3.90719492275871e-06,1,0,1,1
"244",56,"ZAF","South Africa",1994,0,0.00476080985465074,0,0,0,1.6974354635672e-06,1,0,0,0
"245",63,"TUN","Tunisia",1994,1,0.00133171009677714,0,0,0,1.54277231077023e-06,1,0,0,1
"246",69,"ZMB","Zambia",1994,0,0.00093912969899841,0,1,0,3.77977176658785e-06,1,1,1,0
"247",70,"ZWE","Zimbabwe",1994,0,1.12588081224702e-28,0,0,0,2.25631211273711e-06,1,1,1,0
"248",1,"DZA","Algeria",1995,0,0.070098844127671,0,1,0.575,2.6513355791418e-06,1,1,1,0
"249",2,"AGO","Angola",1995,0,7.64739091087117e-06,1,1,0,0.000122817920361646,1,1,1,1
"250",10,"CAF","Central African Republic",1995,1,0.658330796862471,0,1,0,2.16929223317065e-06,1,0,0,1
"251",15,"CIV","Ivory Coast",1995,0,0.665048928475269,0,1,0,1.93736571765623e-06,1,0,0,0
